ANNEE_CTR,CONTRAT_ANCIENNETE,FREQUENCE_PAIEMENT_COTISATION,GROUPE_KM,ZONE_RISQUE,AGE_ASSURE_PRINCIPAL,GENRE,DEUXIEME_CONDUCTEUR,ANCIENNETE_PERMIS,ANNEE_CONSTRUCTION,ENERGIE,EQUIPEMENT_SECURITE,VALEUR_DU_BIEN,NB,CHARGE,EXPO
2019,"(-1,0]",ANNUEL,[20000;40000[,B,54,M,False,47,2016.0,ESSENCE,FAUX,[10000;15000[,0,0.0,245.32786885245918
2019,"(-1,0]",ANNUEL,[20000;40000[,B,88,F,True,55,2018.0,DIESEL,VRAI,[20000;25000[,0,0.0,230.36885245901658
2021,"(1,2]",ANNUEL,[0;20000[,D,35,F,True,16,2017.0,ESSENCE,FAUX,[15000;20000[,0,0.0,300.0
2021,"(2,5]",ANNUEL,[0;20000[,C,46,Autre,False,44,2018.0,ESSENCE,VRAI,[35000;99999[,0,0.0,303.99999999999994
2018,"(2,5]",MENSUEL,[20000;40000[,A,46,F,False,31,2009.0,DIESEL,FAUX,[10000;15000[,0,0.0,365.0
2019,"(2,5]",MENSUEL,[0;20000[,A,67,M,False,22,2015.0,ESSENCE,VRAI,[10000;15000[,0,0.0,364.58743169398923
2016,"(0,1]",MENSUEL,[0;20000[,C,37,F,False,15,2016.0,ESSENCE,VRAI,[10000;15000[,0,868.11,365.0
2017,"(1,2]",MENSUEL,[0;20000[,A,46,F,False,37,2015.0,ESSENCE,FAUX,[10000;15000[,0,0.0,300.0
2016,"(0,1]",MENSUEL,[0;20000[,A,44,F,False,63,2014.0,ESSENCE,FAUX,[0;10000[,0,0.0,56.84426229508204
2019,"(2,5]",MENSUEL,[0;20000[,B,59,F,False,68,2014.0,ESSENCE,FAUX,[10000;15000[,0,2794.96,364.00000000000006
2019,"(0,1]",MENSUEL,[0;20000[,C,40,M,False,37,2017.0,ESSENCE,VRAI,[15000;20000[,1,1072.98,364.84153005464475
2018,"(-1,0]",MENSUEL,[0;20000[,C,30,M,False,12,2017.0,DIESEL,FAUX,[20000;25000[,0,0.0,272.00000000000006
2020,"(0,1]",MENSUEL,[20000;40000[,D,30,M,True,15,2020.0,ESSENCE,FAUX,[20000;25000[,0,0.0,365.0
2021,"(0,1]",MENSUEL,[20000;40000[,B,58,M,False,39,2017.0,DIESEL,FAUX,[10000;15000[,0,0.0,303.99999999999994
2019,"(-1,0]",MENSUEL,[20000;40000[,C,39,M,False,36,2014.0,DIESEL,FAUX,[10000;15000[,0,0.0,203.44262295081973
2019,"(0,1]",ANNUEL,[0;20000[,A,26,F,False,14,2016.0,DIESEL,FAUX,[15000;20000[,0,0.0,364.20491803278685
2017,"(-1,0]",ANNUEL,[0;20000[,D,26,M,False,17,2018.0,ESSENCE,FAUX,[35000;99999[,0,0.0,268.00000000000006
2016,"(0,1]",TRIMESTRIEL,[0;20000[,A,57,F,False,61,2011.0,ESSENCE,VRAI,[10000;15000[,0,287.73,365.0
2018,"(-1,0]",TRIMESTRIEL,[0;20000[,B,25,M,False,17,2017.0,DIESEL,VRAI,[35000;99999[,0,0.0,350.99999999999983
2018,"(2,5]",ANNUEL,[20000;40000[,D,61,M,True,28,2014.0,DIESEL,FAUX,[20000;25000[,0,0.0,365.0
2020,"(1,2]",MENSUEL,[20000;40000[,F,37,F,False,20,2018.0,DIESEL,FAUX,[25000;35000[,0,0.0,365.0
2020,"(2,5]",TRIMESTRIEL,[0;20000[,D,25,Autre,True,18,2014.0,DIESEL,VRAI,[15000;20000[,0,0.0,102.71857923497252
2021,"(2,5]",MENSUEL,[20000;40000[,C,30,F,True,14,2018.0,ESSENCE,FAUX,[15000;20000[,0,0.0,303.99999999999994
2017,"(-1,0]",MENSUEL,[0;20000[,B,26,F,False,15,2016.0,DIESEL,FAUX,[15000;20000[,0,0.0,158.99999999999986
2016,"(0,1]",TRIMESTRIEL,[0;20000[,A,62,M,False,64,2013.0,DIESEL,FAUX,[10000;15000[,0,0.0,365.0
2020,"(-1,0]",MENSUEL,[20000;40000[,C,45,F,False,44,2020.0,ESSENCE,FAUX,[15000;20000[,0,0.0,330.42349726775944
2020,"(0,1]",MENSUEL,[20000;40000[,E,60,Autre,False,66,2018.0,DIESEL,FAUX,[35000;99999[,0,0.0,365.0
2020,"(0,1]",TRIMESTRIEL,[0;20000[,C,42,F,False,18,2018.0,ESSENCE,FAUX,[10000;15000[,0,0.0,365.0
2021,"(2,5]",MENSUEL,[0;20000[,C,60,M,False,52,2016.0,DIESEL,VRAI,[15000;20000[,0,0.0,277.9999999999999
2021,"(2,5]",MENSUEL,[20000;40000[,C,44,M,False,27,2017.0,ESSENCE,FAUX,[10000;15000[,0,0.0,234.99999999999991
2021,"(-1,0]",MENSUEL,[20000;40000[,D,44,F,False,40,2020.0,ESSENCE,FAUX,[15000;20000[,0,0.0,180.99999999999997
2017,"(1,2]",ANNUEL,[20000;40000[,A,37,M,False,56,2013.0,DIESEL,VRAI,[35000;99999[,0,0.0,93.99999999999984
2017,"(0,1]",ANNUEL,[20000;40000[,A,25,F,True,12,2016.0,DIESEL,FAUX,[20000;25000[,0,0.0,365.0
2021,"(1,2]",ANNUEL,[0;20000[,B,62,Autre,False,50,2014.0,DIESEL,FAUX,[20000;25000[,0,0.0,238.99999999999991
2020,"(-1,0]",MENSUEL,[20000;40000[,C,27,M,True,13,2018.0,AUTRE,FAUX,[35000;99999[,1,3750.0,306.9945355191256
2021,"(1,2]",ANNUEL,[0;20000[,C,60,F,False,61,2020.0,ESSENCE,FAUX,[15000;20000[,0,0.0,303.99999999999994
2019,"(-1,0]",MENSUEL,[20000;40000[,L,19,M,False,2,2017.0,ESSENCE,VRAI,[0;10000[,1,1838.49,344.80327868852464
2016,"(-1,0]",ANNUEL,[0;20000[,C,56,F,False,65,2010.0,ESSENCE,FAUX,[0;10000[,0,0.0,280.0
2019,"(0,1]",MENSUEL,[0;20000[,C,57,F,False,36,2021.0,ESSENCE,FAUX,[10000;15000[,0,0.0,364.2677595628415
2017,"(-1,0]",MENSUEL,[0;20000[,A,24,F,False,12,2017.0,ESSENCE,FAUX,[15000;20000[,0,2637.39,195.00000000000009
2018,"(0,1]",ANNUEL,[20000;40000[,C,49,M,True,20,2017.0,DIESEL,FAUX,[20000;25000[,0,0.0,365.0
2018,"(0,1]",ANNUEL,[0;20000[,B,51,Autre,True,42,2017.0,ESSENCE,FAUX,[15000;20000[,0,0.0,365.0
2020,"(1,2]",MENSUEL,[20000;40000[,C,57,M,False,63,2018.0,ESSENCE,FAUX,[15000;20000[,0,0.0,365.0
2019,"(1,2]",MENSUEL,[20000;40000[,C,40,M,False,69,2013.0,ESSENCE,FAUX,[10000;15000[,0,0.0,364.2240437158468
2021,"(1,2]",MENSUEL,[20000;40000[,B,60,Autre,False,28,2018.0,DIESEL,FAUX,[35000;99999[,0,0.0,303.99999999999994
2020,"(2,5]",ANNUEL,[0;20000[,B,52,F,False,55,2017.0,DIESEL,VRAI,[35000;99999[,0,0.0,365.0
2020,"(2,5]",ANNUEL,[0;20000[,C,41,M,False,47,2018.0,ESSENCE,FAUX,[15000;20000[,0,0.0,365.0
2020,"(0,1]",MENSUEL,[0;20000[,B,51,F,False,59,2016.0,ESSENCE,FAUX,[10000;15000[,0,0.0,118.67486338797818
2019,"(-1,0]",MENSUEL,[20000;40000[,C,49,Autre,False,21,2020.0,ESSENCE,FAUX,[25000;35000[,0,0.0,267.26775956284155
2020,"(2,5]",ANNUEL,[0;20000[,B,73,M,True,24,2018.0,DIESEL,FAUX,[20000;25000[,0,0.0,193.4699453551912
2020,"(0,1]",MENSUEL,[20000;40000[,B,35,M,False,19,2018.0,DIESEL,FAUX,[15000;20000[,0,2288.09,365.0
2018,"(0,1]",ANNUEL,[0;20000[,C,41,Autre,False,49,2010.0,DIESEL,FAUX,[25000;35000[,0,0.0,218.00000000000009
2019,"(-1,0]",MENSUEL,[0;20000[,D,46,F,False,45,2019.0,AUTRE,FAUX,[20000;25000[,0,0.0,14.959016393442605
2018,"(2,5]",MENSUEL,[0;20000[,A,50,M,False,64,2009.0,ESSENCE,VRAI,[25000;35000[,0,0.0,365.0
2019,"(2,5]",MENSUEL,[0;20000[,A,74,F,False,65,2016.0,ESSENCE,FAUX,[10000;15000[,0,0.0,364.704918032787
2020,"(0,1]",MENSUEL,[20000;40000[,C,51,M,True,34,2018.0,ESSENCE,FAUX,[15000;20000[,0,0.0,365.0
2018,"(0,1]",ANNUEL,[20000;40000[,A,37,M,False,20,2017.0,DIESEL,VRAI,[20000;25000[,0,0.0,365.0
2021,"(0,1]",ANNUEL,[20000;40000[,B,45,M,False,42,2015.0,DIESEL,FAUX,[20000;25000[,0,0.0,158.99999999999986
2017,"(1,2]",MENSUEL,[0;20000[,A,41,M,False,28,2010.0,DIESEL,FAUX,[0;10000[,0,0.0,365.0
2018,"(0,1]",MENSUEL,[40000;60000[,C,40,M,False,63,2016.0,DIESEL,FAUX,[15000;20000[,0,0.0,180.99999999999997
2018,"(1,2]",MENSUEL,[20000;40000[,C,86,M,False,29,2015.0,DIESEL,FAUX,[25000;35000[,0,0.0,365.0
2019,"(1,2]",MENSUEL,[40000;60000[,B,41,M,True,38,2010.0,DIESEL,FAUX,[10000;15000[,0,0.0,364.7486338797813
2016,"(0,1]",ANNUEL,[0;20000[,C,28,M,True,20,2013.0,DIESEL,VRAI,[20000;25000[,0,0.0,365.0
2017,"(0,1]",MENSUEL,[0;20000[,D,26,M,False,13,2009.0,DIESEL,FAUX,[15000;20000[,0,0.0,365.0
2021,"(0,1]",ANNUEL,[20000;40000[,C,35,M,False,42,2020.0,ESSENCE,VRAI,[25000;35000[,0,0.0,238.99999999999991
2020,"(0,1]",MENSUEL,[20000;40000[,C,40,M,False,68,2016.0,DIESEL,VRAI,[25000;35000[,0,0.0,365.0
2018,"(-1,0]",ANNUEL,[20000;40000[,C,63,M,False,61,2015.0,ESSENCE,VRAI,[15000;20000[,0,0.0,253.00000000000006
2018,"(2,5]",ANNUEL,[0;20000[,C,34,F,False,18,2014.0,DIESEL,VRAI,[20000;25000[,0,0.0,50.0
